slug,winner,entered,side,price,t,predicted_ev,pnl_per_share,correct,threshold
btc-updown-5m-1776091800,Up,True,Up,0.41,30.0,0.06939251720905304,0.5900000000000001,True,0.005
btc-updown-5m-1776092100,Up,True,Up,0.39,31.0,0.0074485233053565025,0.61,True,0.005
btc-updown-5m-1776092400,Down,True,Up,0.45,30.0,0.06789873540401459,-0.45,False,0.005
btc-updown-5m-1776092700,Down,True,Up,0.73,30.0,0.04085725545883179,-0.73,False,0.005
btc-updown-5m-1776093000,Down,True,Up,0.4,30.0,0.015217918902635574,-0.4,False,0.005
btc-updown-5m-1776093300,Down,True,Up,0.51,30.0,0.019678711891174316,-0.51,False,0.005
btc-updown-5m-1776093600,Up,True,Up,0.73,30.0,0.04085725545883179,0.27,True,0.005
btc-updown-5m-1776093900,Up,True,Up,0.53,31.0,0.0086464062333107,0.47,True,0.005
btc-updown-5m-1776094200,Down,True,Up,0.27,30.0,0.008532630279660225,-0.27,False,0.005
btc-updown-5m-1776094800,Up,True,Up,0.6,33.0,0.009245599620044231,0.4,True,0.005
